location,violation_count,latitude,longitude,avg_severity,junction_ratio,repeat_offenders,cluster
"1, 10th Main Road, Achaiah Chetty Layout, Sadashivanagar, Sadashiva Nagara, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",1,13.0111342,77.5835622,8.0,1.0,1.0,0
"1, 12th Main Road, Sector 6, HSR Layout, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560102, India",1,12.9155549,77.6368993,3.0,0.0,1.0,1
"1, 14th Main Road, Sector 7, HSR Layout, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560102, India",6,12.912079999999998,77.638002,3.0,0.0,1.0,1
"1, 7th C Cross Road, Maistripalaya, Kormangala East, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560034, India",1,12.9326237,77.623365,3.0,0.0,1.0,2
"1/1, East Park Road, Sadashivanagar, Sadashiva Nagara, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",2,13.00841145,77.57069014999999,3.0,0.0,3.0,3
"100 Feet Road, 3rd Block, Sir MV Layout, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560056, India",1,12.9515169,77.4774966,8.0,0.0,1.0,-1
"100 Feet Road, 4th Block, Sir MV Layout, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560110, India",1,12.9515218,77.4773146,3.0,0.0,1.0,-1
"100 Feet Road, Another Sky by Living Walls, Ashirwad Colony, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)",1,13.0190763,77.6557568,3.0,0.0,1.0,4
"100 Feet Road, BM Sri Circle, Indiranagar, Bengaluru, Karnataka. Pin-560038 (India)",11,12.977762437337429,77.64082173656305,3.3636363636363638,0.0,2.272727272727273,5
"100 Feet Road, Babasaheb Colony, Kodihalli, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560008, India",1,12.9635164,77.6416203,3.0,1.0,1.0,6
"100 Feet Road, DSR Sunshine, T Krishna Reddy Layout, Banaswadi, Bengaluru, Karnataka. Pin-560043 (India)",1,13.0182702,77.6540618,3.0,0.0,1.0,4
"100 Feet Road, FTI Quarters, Yeshwanthpur Suburb Stage 2, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",2,13.0221908,77.5322187,3.5,0.0,1.0,7
"100 Feet Road, Gopal Reddy Layout, Banaswadi, Bengaluru, Karnataka. Pin-560043 (India)",6,13.018146450000001,77.65398218333333,3.0,0.0,1.0,4
"100 Feet Road, HAL 2nd Stage, Kodihalli, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560008, India",1,12.9701567,77.6412108,3.0,0.0,1.0,6
"100 Feet Road, HRBR Layout 1st Block, Banaswadi, Bengaluru North City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560043, India",1,13.0181635,77.6540082,3.0,0.0,1.0,4
"100 Feet Road, Indiranagar, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560008, India",1,12.970415,77.6412514,12.0,0.0,1.0,6
"100 Feet Road, J Muniswamy Reddy Layout, Banaswadi, Bengaluru, Karnataka. Pin-560043 (India)",1,13.014871,77.6496273,8.0,0.0,1.0,-1
"100 Feet Road, Jalahalli Cross Junction, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",6,13.039734844444444,77.51822545555557,3.8333333333333335,0.0,1.1666666666666667,8
"100 Feet Road, Jalahalli Cross, T Dasarahalli, Bengaluru, Karnataka. Pin-560057 (India)",22,13.038383909090909,77.51818729090908,7.136363636363637,0.0,1.5,8
"100 Feet Road, KFC Circle, Indiranagar, Bengaluru, Karnataka. Pin-560038 (India)",5,12.978412019999999,77.64028578,3.4,0.0,1.2,5
"100 Feet Road, Kanteerava Studio Circle, Bengaluru, Karnataka. Pin-560096 (India)",17,13.021075188235294,77.52843042941176,3.0,0.0,1.1176470588235294,9
"100 Feet Road, Kempamma Badavane, Nandini Layout, Bengaluru, Karnataka. Pin-560096 (India)",1,13.0224075,77.5238951,3.0,0.0,1.0,-1
"100 Feet Road, Macksons Industrial Estate, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",1,13.0216277,77.5357911,3.0,0.0,1.0,7
"100 Feet Road, New Binnamangla, Indiranagar, Bengaluru, Karnataka. Pin-560038 (India)",29,12.982536956960423,77.64048577941149,7.068965517241379,0.0,1.206896551724138,5
"100 Feet Road, Old Binnamangala, Stage 1, Indiranagar, Bengaluru, Karnataka. Pin-560038 (India)",2,12.9795677,77.6408469,8.0,0.0,1.0,5
"100 Feet Road, Peddanna Reddy Layout, Ashirwad Colony, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)",3,13.018956051724262,77.65544265260388,3.3333333333333335,0.0,1.0,4
"100 Feet Road, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",3,13.026546988888889,77.52070647777778,5.666666666666667,0.0,1.0,10
